"ID";"Country"
1;"Afghanistan"
2;"Ägypten"
3;"Albanien"
4;"Algerien"
5;"Andorra"
6;"Angola"
7;"Antigua und Barbuda"
8;"Äquatorialguinea"
9;"Argentinien"
10;"Armenien"
11;"Aserbaidschan"
12;"Äthiopien"
13;"Australien"
14;"Bahamas"
15;"Bahrain"
16;"Bangladesch"
17;"Barbados"
18;"Belarus"
19;"Belgien"
20;"Belize"
21;"Benin"
22;"Bhutan"
23;"Bolivien"
24;"Bosnien und Herzegowina"
25;"Botsuana"
26;"Brasilien"
27;"Brunei Darussalam"
28;"Bulgarien"
29;"Burkina Faso"
30;"Burundi"
31;"Chile"
32;"China"
33;"Cookinseln"
34;"Costa Rica"
35;"Côte D’Ivoire"
36;"Dänemark"
37;"Dominica"
38;"Dominikanische Republik"
39;"Dschibuti"
40;"Ecuador"
41;"El Salvador"
42;"Elfenbeinküste"
43;"Eritrea"
44;"Estland"
45;"Fidschi"
46;"Finnland"
47;"Frankreich"
48;"Gabun"
49;"Gambia"
50;"Georgien"
51;"Ghana"
52;"Grenada"
53;"Griechenland"
54;"Guatemala"
55;"Guinea"
56;"Guinea-Bissau"
57;"Guyana"
58;"Haiti"
59;"Honduras"
60;"Indien"
61;"Indonesien"
62;"Irak"
63;"Iran"
64;"Irland"
65;"Island"
66;"Israel"
67;"Italien"
68;"Jamaika"
69;"Japan"
70;"Jemen"
71;"Jordanien"
72;"Kambodscha"
73;"Kamerun"
74;"Kanada"
75;"Kap Verde"
76;"Kasachstan"
77;"Katar"
78;"Kenia"
79;"Kirgisistan"
80;"Kiribati"
81;"Kolumbien"
82;"Komoren"
83;"Kongo (Demokratische Republik)"
84;"Kongo (Republik)"
85;"Korea (Demokratische Volksrepublik)"
86;"Korea (Republik)"
87;"Kosovo"
88;"Kroatien"
89;"Kuba"
90;"Kuwait"
91;"Laos"
92;"Lesotho"
93;"Lettland"
94;"Libanon"
95;"Liberia"
96;"Libyen"
97;"Liechtenstein"
98;"Litauen"
99;"Luxemburg"
100;"Madagaskar"
101;"Malawi"
102;"Malaysia"
103;"Malediven"
104;"Mali"
105;"Malta"
106;"Marokko"
107;"Marshallinseln"
108;"Mauretanien"
109;"Mauritius"
110;"Mazedonien"
111;"Mexiko"
112;"Mikronesien"
113;"Moldau"
114;"Monaco"
115;"Mongolei"
116;"Montenegro"
117;"Mosambik"
118;"Myanmar"
119;"Namibia"
120;"Nauru"
121;"Nepal"
122;"Neuseeland"
123;"Nicaragua"
124;"Niederlande"
125;"Niger"
126;"Nigeria"
127;"Niue"
128;"Norwegen"
129;"Oman"
130;"Österreich"
131;"Pakistan"
132;"Palau"
133;"Panama"
134;"Papua-Neuguinea"
135;"Paraguay"
136;"Peru"
137;"Philippinen"
138;"Polen"
139;"Portugal"
140;"Ruanda"
141;"Rumänien"
142;"Russische Föderation"
143;"Salomonen"
144;"Sambia"
145;"Samoa"
146;"San Marino"
147;"São Tomé und Príncipe"
148;"Saudi-Arabien"
149;"Schweden"
150;"Schweiz"
151;"Senegal"
152;"Serbien"
153;"Seychellen"
154;"Sierra Leone"
155;"Simbabwe"
156;"Singapur"
157;"Slowakei"
158;"Slowenien"
159;"Somalia"
160;"Spanien"
161;"Sri Lanka"
162;"St. Kitts und Nevis"
163;"St. Lucia"
164;"St. Vincent und Die Grenadinen"
165;"Südafrika"
166;"Sudan"
167;"Südsudan"
168;"Suriname"
169;"Swasiland"
170;"Syrien"
171;"Tadschikistan"
172;"Tansania"
173;"Thailand"
174;"Timor-Leste"
175;"Togo"
176;"Tonga"
177;"Trinidad und Tobago"
178;"Tschad"
179;"Tschechische Republik"
180;"Tunesien"
181;"Türkei"
182;"Turkmenistan"
183;"Tuvalu"
184;"Uganda"
185;"Ukraine"
186;"Ungarn"
187;"Uruguay"
188;"Usbekistan"
189;"Vanuatu"
190;"Vatikanstadt"
191;"Venezuela"
192;"Vereinigte Arabische Emirate"
193;"Vereinigte Staaten"
194;"Vereinigtes Königreich"
195;"Vietnam"
196;"Weissrussland (Belarus)"
197;"Zentralafrikanische Republik"
198;"Zypern"
